feature,importance
atr_pct,0.05174702744234562
macro_gold,0.03776513519788214
hv_60d,0.03222043749022408
month,0.028114547306559653
macro_sp500_sma50,0.02696860065448801
beta,0.024206853950135287
macro_nasdaq,0.02301209713933476
macro_oil,0.021408940901215697
pct_hi_52w,0.021188597012135945
vol_regime,0.02081529847747623
eps_ttm,0.01885231715743671
macro_bonds,0.01579064774903831
pct_lo_52w,0.014979544524562282
macro_dxy,0.01421988256550338
macro_sp500_ret_20d,0.01329383055050764
macro_sp500,0.013281970321450709
dividend_yield,0.01298354565074925
ret_60d,0.012888567622044324
macro_yield_10y,0.012860862159815006
sma50_200_slope,0.012501701584958107
pe_forward,0.011927161332008194
macro_vix,0.011243935945593147
macd_hist,0.01036063647701786
revenue_growth_yoy,0.00991723646768736
macro_yield_10y_5d_change,0.009751200111481544
ps,0.00966501851332431
macro_sp500_ret_5d,0.00868878223238697
intraday_range,0.008580276496448607
month_end,0.008318348535260915
macd_hist_chg,0.00783393087424097
hurst_proxy_20_60,0.007451210467662307
pe_compression,0.007443729700530816
pb,0.00741527141456866
macro_vix_7d_change,0.007217063326988656
net_margin,0.006951124109127608
debt_equity,0.006654315568227349
dist_sma200,0.006597956321907579
atr_chg,0.006519292790840479
sma20_50_slope,0.0064459812407735885
pe_ttm,0.0063888719035345935
zscore_126d,0.006206446752904209
dist_sma100,0.006132813703856383
macro_dxy_5d_change,0.005931503987163613
rsi_28,0.005767739073221997
roe,0.005682924244954521
hv_20d,0.005659913609829333
dist_from_52w_high,0.005186668193666327
hv_10d,0.005052466665769622
ret_autocorr_60d,0.0049715940993036575
stoch_28,0.004798440983797303
vol_ratio,0.004767810981533808
vol_ratio_20d,0.004683701924564372
macro_vix_ret5,0.004481531319509117
vol_zs_20d,0.004422392946513519
ret_20d,0.004089808839506089
short_ratio,0.004031745137410551
spread_vs_avg,0.003958048652161708
ret_5d,0.0037839515292822264
bb_width,0.0036454298384955355
dist_from_52w_low,0.003580843116858615
ret_2d,0.0033582538674722545
dist_sma50,0.00332815958896407
macro_sp500_ret20,0.003298976244875362
ret10_zscore,0.0032503387113899966
macro_sp500_ret_1d,0.003232478049341047
pct_lo_20w,0.0030044611665354243
quarter,0.0028543446139605157
revenue_growth_yoy_val,0.0026264013334362122
ret_autocorr_20d,0.002600477870084197
hurst_proxy_5_20,0.002468319628346544
ret_1d,0.002294456895552637
zscore_60d,0.002146750103390313
rsi_14,0.0020681411017020447
ret5_zscore,0.0020212956911126816
trend_consistency_20d,0.0018057374933808442
high_vol_regime,0.0017833022779300738
gap_pct,0.0017598248861762983
month_start,0.0017309785619914096
rsi_dist_mid,0.0017305712007912848
spread_proxy,0.001662724420556665
pct_hi_20w,0.0015820351972046138
macro_sp500_ret5,0.0015666545555630227
rsi_5,0.0015494325111366045
short_ratio_val,0.001491654018981045
vol_zs_5d,0.0013548573994582452
dist_sma20,0.0013424713703487918
macro_bull_regime,0.0013111762434748725
vol_ratio_5d,0.0011865885604985817
bb_pct,0.0011405390542868008
roc_20,0.0011007921922135916
ret_3d,0.0009876867359537524
ret_10d,0.0009757027897591721
trend_consistency_10d,0.0008931808469180902
stoch_14,0.0008403788388320197
roc_5,0.0007135259171489896
close_loc,0.0005814981347372508
quality_score,0.0005125561517750575
dow,0.0004956899606470803
bb_reversion_signal,0.0004476582723441994
macro_bull,0.0003846291274470823
low_vol_regime,0.0003780055459770236
macro_vix_high_regime,0.0002574995595923814
zscore_20d,0.00023734130434969724
roc_10,0.00022413462010240087
above_sma200,0.00017665350187913534
consec_dn,0.00017318983917826643
strong_revenue_growth,0.00016911311924947803
consec_up,0.0001123148881353587
earnings_growing_faster,8.840139048011016e-05
macro_high_vix,7.216287242183462e-05
above_sma100,5.6250123106277984e-05
high_short_interest,3.4801716718006946e-05
rsi_oversold,1.5343696629385828e-05
rsi_extreme,7.495380217317025e-06
above_sma50,4.418399768956039e-06
new_20d_high,3.2709789497534285e-06
new_52w_high,0.0
new_52w_low,0.0
rsi_overbought,0.0
outside_bb_upper,0.0
outside_bb_lower,0.0
above_sma20,0.0
high_uncertainty,0.0
extreme_short_interest,0.0
inside_bar,0.0
